DestinationID,Name,State,Type,Popularity,BestTimeToVisit
47,Goa Beaches,Goa,Beach,7.726020724706562,Nov-Mar
48,Jaipur City,Rajasthan,City,9.072662351480414,Oct-Mar
49,Kerala Backwaters,Kerala,Nature,8.0159728308643,Sep-Mar
50,Leh Ladakh,Jammu and Kashmir,Adventure,8.18047732584072,Apr-Jun
51,Taj Mahal,Uttar Pradesh,Historical,8.329362264700663,Nov-Feb
52,Goa Beaches,Goa,Beach,8.298754590990846,Nov-Mar
53,Jaipur City,Rajasthan,City,8.399568313158765,Oct-Mar
54,Kerala Backwaters,Kerala,Nature,8.116931496368345,Sep-Mar
55,Leh Ladakh,Jammu and Kashmir,Adventure,7.560629646730556,Apr-Jun
56,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb
57,Goa Beaches,Goa,Beach,8.061326287087322,Nov-Mar
58,Jaipur City,Rajasthan,City,8.648115222412239,Oct-Mar
59,Kerala Backwaters,Kerala,Nature,9.490122865222292,Sep-Mar
60,Leh Ladakh,Jammu and Kashmir,Adventure,8.090294276209098,Apr-Jun
61,Taj Mahal,Uttar Pradesh,Historical,9.255411351531993,Nov-Feb
62,Goa Beaches,Goa,Beach,9.379786903532917,Nov-Mar
63,Jaipur City,Rajasthan,City,9.202094230781736,Oct-Mar
64,Kerala Backwaters,Kerala,Nature,7.995381521960635,Sep-Mar
65,Leh Ladakh,Jammu and Kashmir,Adventure,8.264285623199319,Apr-Jun
66,Taj Mahal,Uttar Pradesh,Historical,8.657185750902032,Nov-Feb
67,Goa Beaches,Goa,Beach,7.593468221686345,Nov-Mar
68,Jaipur City,Rajasthan,City,7.599766915318256,Oct-Mar
69,Kerala Backwaters,Kerala,Nature,9.251449511759903,Sep-Mar
70,Leh Ladakh,Jammu and Kashmir,Adventure,8.302199786049163,Apr-Jun
71,Taj Mahal,Uttar Pradesh,Historical,7.918856059125499,Nov-Feb
72,Goa Beaches,Goa,Beach,9.498128983269279,Nov-Mar
73,Jaipur City,Rajasthan,City,9.365362186929547,Oct-Mar
74,Kerala Backwaters,Kerala,Nature,8.61852560875922,Sep-Mar
75,Leh Ladakh,Jammu and Kashmir,Adventure,8.051674304536373,Apr-Jun
76,Taj Mahal,Uttar Pradesh,Historical,9.019776840711156,Nov-Feb
77,Goa Beaches,Goa,Beach,8.72436552320658,Nov-Mar
78,Jaipur City,Rajasthan,City,8.697245496090385,Oct-Mar
79,Kerala Backwaters,Kerala,Nature,8.48262944456915,Sep-Mar
80,Leh Ladakh,Jammu and Kashmir,Adventure,9.167168852535996,Apr-Jun
81,Taj Mahal,Uttar Pradesh,Historical,8.113730398100675,Nov-Feb
82,Goa Beaches,Goa,Beach,8.067416540924038,Nov-Mar
83,Jaipur City,Rajasthan,City,9.255202768697819,Oct-Mar
84,Kerala Backwaters,Kerala,Nature,9.33374854303011,Sep-Mar
85,Leh Ladakh,Jammu and Kashmir,Adventure,7.8774391682000715,Apr-Jun
86,Taj Mahal,Uttar Pradesh,Historical,8.093807911279,Nov-Feb
87,Goa Beaches,Goa,Beach,8.322799778823294,Nov-Mar
88,Jaipur City,Rajasthan,City,9.018383603515831,Oct-Mar
89,Kerala Backwaters,Kerala,Nature,8.686130970942902,Sep-Mar
90,Leh Ladakh,Jammu and Kashmir,Adventure,7.864848872360961,Apr-Jun
91,Taj Mahal,Uttar Pradesh,Historical,8.775155892425978,Nov-Feb
92,Goa Beaches,Goa,Beach,7.842354721882594,Nov-Mar
93,Jaipur City,Rajasthan,City,9.116298424696906,Oct-Mar
94,Kerala Backwaters,Kerala,Nature,7.678657960181018,Sep-Mar
95,Leh Ladakh,Jammu and Kashmir,Adventure,8.18716561676901,Apr-Jun
96,Taj Mahal,Uttar Pradesh,Historical,8.984287702263758,Nov-Feb
97,Goa Beaches,Goa,Beach,8.882535315140167,Nov-Mar
98,Jaipur City,Rajasthan,City,7.511446246886857,Oct-Mar
99,Kerala Backwaters,Kerala,Nature,8.154277486295694,Sep-Mar
100,Leh Ladakh,Jammu and Kashmir,Adventure,8.55062227154497,Apr-Jun
101,Taj Mahal,Uttar Pradesh,Historical,9.35787687156371,Nov-Feb
102,Goa Beaches,Goa,Beach,7.9012064745416986,Nov-Mar
103,Jaipur City,Rajasthan,City,9.293866271159711,Oct-Mar
104,Kerala Backwaters,Kerala,Nature,9.032056856576265,Sep-Mar
105,Leh Ladakh,Jammu and Kashmir,Adventure,9.367695620218187,Apr-Jun
106,Taj Mahal,Uttar Pradesh,Historical,8.494823560399388,Nov-Feb
107,Goa Beaches,Goa,Beach,8.670099991881528,Nov-Mar
108,Jaipur City,Rajasthan,City,8.180179995253692,Oct-Mar
109,Kerala Backwaters,Kerala,Nature,8.024075275103758,Sep-Mar
110,Leh Ladakh,Jammu and Kashmir,Adventure,8.885980061188206,Apr-Jun
111,Taj Mahal,Uttar Pradesh,Historical,8.979764648904338,Nov-Feb
112,Goa Beaches,Goa,Beach,8.196505600821453,Nov-Mar
113,Jaipur City,Rajasthan,City,7.576534512918616,Oct-Mar
114,Kerala Backwaters,Kerala,Nature,9.46714704036077,Sep-Mar
115,Leh Ladakh,Jammu and Kashmir,Adventure,8.717346793179837,Apr-Jun
116,Taj Mahal,Uttar Pradesh,Historical,8.636073233725135,Nov-Feb
117,Goa Beaches,Goa,Beach,9.219798014453819,Nov-Mar
118,Jaipur City,Rajasthan,City,7.69898565359074,Oct-Mar
119,Kerala Backwaters,Kerala,Nature,8.953643159740016,Sep-Mar
120,Leh Ladakh,Jammu and Kashmir,Adventure,7.928950861748308,Apr-Jun
121,Taj Mahal,Uttar Pradesh,Historical,8.624112218256297,Nov-Feb
122,Goa Beaches,Goa,Beach,7.7912029326480265,Nov-Mar
123,Jaipur City,Rajasthan,City,9.31595003961975,Oct-Mar
124,Kerala Backwaters,Kerala,Nature,7.921320004258767,Sep-Mar
125,Leh Ladakh,Jammu and Kashmir,Adventure,8.13647203127079,Apr-Jun
126,Taj Mahal,Uttar Pradesh,Historical,8.271757062443388,Nov-Feb
127,Goa Beaches,Goa,Beach,8.132745077467629,Nov-Mar
128,Jaipur City,Rajasthan,City,7.513479447324053,Oct-Mar
129,Kerala Backwaters,Kerala,Nature,9.066328357904666,Sep-Mar
130,Leh Ladakh,Jammu and Kashmir,Adventure,9.46063445778344,Apr-Jun
131,Taj Mahal,Uttar Pradesh,Historical,8.853926858989041,Nov-Feb
132,Goa Beaches,Goa,Beach,8.188672007745929,Nov-Mar
133,Jaipur City,Rajasthan,City,7.813559346844389,Oct-Mar
134,Kerala Backwaters,Kerala,Nature,7.743269418238725,Sep-Mar
135,Leh Ladakh,Jammu and Kashmir,Adventure,9.398122784522716,Apr-Jun
136,Taj Mahal,Uttar Pradesh,Historical,8.15356207947505,Nov-Feb
137,Goa Beaches,Goa,Beach,8.863570277264008,Nov-Mar
138,Jaipur City,Rajasthan,City,9.195643436953047,Oct-Mar
139,Kerala Backwaters,Kerala,Nature,8.426322913287258,Sep-Mar
140,Leh Ladakh,Jammu and Kashmir,Adventure,8.907807740975244,Apr-Jun
141,Taj Mahal,Uttar Pradesh,Historical,7.618133331669091,Nov-Feb
142,Goa Beaches,Goa,Beach,7.601039201109356,Nov-Mar
143,Jaipur City,Rajasthan,City,8.299735698712732,Oct-Mar
144,Kerala Backwaters,Kerala,Nature,7.8305412284530735,Sep-Mar
145,Leh Ladakh,Jammu and Kashmir,Adventure,9.388011428887994,Apr-Jun
146,Taj Mahal,Uttar Pradesh,Historical,8.373844119971205,Nov-Feb
147,Goa Beaches,Goa,Beach,7.770934466715671,Nov-Mar
148,Jaipur City,Rajasthan,City,7.69274109154765,Oct-Mar
149,Kerala Backwaters,Kerala,Nature,7.812523860815096,Sep-Mar
150,Leh Ladakh,Jammu and Kashmir,Adventure,8.863872329774836,Apr-Jun
151,Taj Mahal,Uttar Pradesh,Historical,9.450175079123193,Nov-Feb
152,Goa Beaches,Goa,Beach,9.000248319359416,Nov-Mar
153,Jaipur City,Rajasthan,City,9.072635913777948,Oct-Mar
154,Kerala Backwaters,Kerala,Nature,9.48479754719289,Sep-Mar
155,Leh Ladakh,Jammu and Kashmir,Adventure,7.9331214085590265,Apr-Jun
156,Taj Mahal,Uttar Pradesh,Historical,8.96758311752555,Nov-Feb
157,Goa Beaches,Goa,Beach,7.607643334351276,Nov-Mar
158,Jaipur City,Rajasthan,City,8.533439718586166,Oct-Mar
159,Kerala Backwaters,Kerala,Nature,8.017566360422618,Sep-Mar
160,Leh Ladakh,Jammu and Kashmir,Adventure,8.0366846404497,Apr-Jun
161,Taj Mahal,Uttar Pradesh,Historical,7.738547101644033,Nov-Feb
162,Goa Beaches,Goa,Beach,7.5447704698175055,Nov-Mar
163,Jaipur City,Rajasthan,City,8.168780568830128,Oct-Mar
164,Kerala Backwaters,Kerala,Nature,7.81836693407545,Sep-Mar
165,Leh Ladakh,Jammu and Kashmir,Adventure,7.554650204523121,Apr-Jun
166,Taj Mahal,Uttar Pradesh,Historical,7.967520190746358,Nov-Feb
167,Goa Beaches,Goa,Beach,9.185298189406499,Nov-Mar
168,Jaipur City,Rajasthan,City,7.634504263080543,Oct-Mar
169,Kerala Backwaters,Kerala,Nature,7.686748942635202,Sep-Mar
170,Leh Ladakh,Jammu and Kashmir,Adventure,7.848982805962368,Apr-Jun
171,Taj Mahal,Uttar Pradesh,Historical,7.721043377213922,Nov-Feb
172,Goa Beaches,Goa,Beach,9.486279939461564,Nov-Mar
173,Jaipur City,Rajasthan,City,7.722252209890692,Oct-Mar
174,Kerala Backwaters,Kerala,Nature,8.360692114959477,Sep-Mar
175,Leh Ladakh,Jammu and Kashmir,Adventure,8.866219313947683,Apr-Jun
176,Taj Mahal,Uttar Pradesh,Historical,8.165093921735247,Nov-Feb
177,Goa Beaches,Goa,Beach,9.446896779006565,Nov-Mar
178,Jaipur City,Rajasthan,City,8.544351694378236,Oct-Mar
179,Kerala Backwaters,Kerala,Nature,8.299149270820505,Sep-Mar
180,Leh Ladakh,Jammu and Kashmir,Adventure,8.091363134430685,Apr-Jun
181,Taj Mahal,Uttar Pradesh,Historical,9.236840653145723,Nov-Feb
182,Goa Beaches,Goa,Beach,8.332585021952074,Nov-Mar
183,Jaipur City,Rajasthan,City,8.872498743885908,Oct-Mar
184,Kerala Backwaters,Kerala,Nature,7.816345212118861,Sep-Mar
185,Leh Ladakh,Jammu and Kashmir,Adventure,8.242881342868039,Apr-Jun
186,Taj Mahal,Uttar Pradesh,Historical,8.118994457168691,Nov-Feb
187,Goa Beaches,Goa,Beach,8.843079930515232,Nov-Mar
188,Jaipur City,Rajasthan,City,8.202625978518912,Oct-Mar
189,Kerala Backwaters,Kerala,Nature,8.649611762507414,Sep-Mar
190,Leh Ladakh,Jammu and Kashmir,Adventure,9.150588626183193,Apr-Jun
191,Taj Mahal,Uttar Pradesh,Historical,8.072256876114661,Nov-Feb
192,Goa Beaches,Goa,Beach,8.419905788920559,Nov-Mar
193,Jaipur City,Rajasthan,City,7.672819736516948,Oct-Mar
194,Kerala Backwaters,Kerala,Nature,7.764994888805412,Sep-Mar
195,Leh Ladakh,Jammu and Kashmir,Adventure,9.09297245471366,Apr-Jun
196,Taj Mahal,Uttar Pradesh,Historical,8.393643741715653,Nov-Feb
197,Goa Beaches,Goa,Beach,9.433855269535494,Nov-Mar
198,Jaipur City,Rajasthan,City,8.25589320047637,Oct-Mar
199,Kerala Backwaters,Kerala,Nature,9.112874173872635,Sep-Mar
200,Leh Ladakh,Jammu and Kashmir,Adventure,7.77167518972464,Apr-Jun
201,Taj Mahal,Uttar Pradesh,Historical,7.653509093644129,Nov-Feb
202,Goa Beaches,Goa,Beach,8.24671865641993,Nov-Mar
203,Jaipur City,Rajasthan,City,9.042840185618239,Oct-Mar
204,Kerala Backwaters,Kerala,Nature,7.96348370355229,Sep-Mar
205,Leh Ladakh,Jammu and Kashmir,Adventure,8.456754675076878,Apr-Jun
206,Taj Mahal,Uttar Pradesh,Historical,9.282226276103573,Nov-Feb
207,Goa Beaches,Goa,Beach,8.560557283746103,Nov-Mar
208,Jaipur City,Rajasthan,City,9.232664943302455,Oct-Mar
209,Kerala Backwaters,Kerala,Nature,7.650543289908463,Sep-Mar
210,Leh Ladakh,Jammu and Kashmir,Adventure,8.277611273067814,Apr-Jun
211,Taj Mahal,Uttar Pradesh,Historical,8.188261257930963,Nov-Feb
212,Goa Beaches,Goa,Beach,9.149424673009314,Nov-Mar
213,Jaipur City,Rajasthan,City,7.971646077114067,Oct-Mar
214,Kerala Backwaters,Kerala,Nature,8.37824470003113,Sep-Mar
215,Leh Ladakh,Jammu and Kashmir,Adventure,7.584036611041155,Apr-Jun
216,Taj Mahal,Uttar Pradesh,Historical,9.36720219996661,Nov-Feb
217,Goa Beaches,Goa,Beach,9.14476464169103,Nov-Mar
218,Jaipur City,Rajasthan,City,9.034168574407344,Oct-Mar
219,Kerala Backwaters,Kerala,Nature,9.23761035529466,Sep-Mar
220,Leh Ladakh,Jammu and Kashmir,Adventure,8.869504608299943,Apr-Jun
221,Taj Mahal,Uttar Pradesh,Historical,8.719051821566694,Nov-Feb
222,Goa Beaches,Goa,Beach,8.240843057485613,Nov-Mar
223,Jaipur City,Rajasthan,City,8.936949815863377,Oct-Mar
224,Kerala Backwaters,Kerala,Nature,8.077912596148288,Sep-Mar
225,Leh Ladakh,Jammu and Kashmir,Adventure,8.793334588772431,Apr-Jun
226,Taj Mahal,Uttar Pradesh,Historical,7.721478393909334,Nov-Feb
227,Goa Beaches,Goa,Beach,8.882153318904079,Nov-Mar
228,Jaipur City,Rajasthan,City,8.534275498218907,Oct-Mar
229,Kerala Backwaters,Kerala,Nature,7.603935909874509,Sep-Mar
230,Leh Ladakh,Jammu and Kashmir,Adventure,7.619039723254248,Apr-Jun
231,Taj Mahal,Uttar Pradesh,Historical,7.788256139986302,Nov-Feb
232,Goa Beaches,Goa,Beach,8.789144742286863,Nov-Mar
233,Jaipur City,Rajasthan,City,7.782973981393143,Oct-Mar
234,Kerala Backwaters,Kerala,Nature,9.420960540403104,Sep-Mar
235,Leh Ladakh,Jammu and Kashmir,Adventure,8.734064597506109,Apr-Jun
236,Taj Mahal,Uttar Pradesh,Historical,8.42477279242355,Nov-Feb
237,Goa Beaches,Goa,Beach,8.160740974111713,Nov-Mar
238,Jaipur City,Rajasthan,City,8.127785896913094,Oct-Mar
239,Kerala Backwaters,Kerala,Nature,8.757659224866991,Sep-Mar
240,Leh Ladakh,Jammu and Kashmir,Adventure,8.51845220238507,Apr-Jun
241,Taj Mahal,Uttar Pradesh,Historical,7.668642704912232,Nov-Feb
242,Goa Beaches,Goa,Beach,9.164688152340851,Nov-Mar
243,Jaipur City,Rajasthan,City,9.068862539358655,Oct-Mar
244,Kerala Backwaters,Kerala,Nature,9.011521245140806,Sep-Mar
245,Leh Ladakh,Jammu and Kashmir,Adventure,9.459953313645835,Apr-Jun
246,Taj Mahal,Uttar Pradesh,Historical,8.617311411386703,Nov-Feb
247,Goa Beaches,Goa,Beach,9.153509849210488,Nov-Mar
248,Jaipur City,Rajasthan,City,7.879027092891848,Oct-Mar
249,Kerala Backwaters,Kerala,Nature,8.89428404394321,Sep-Mar
250,Leh Ladakh,Jammu and Kashmir,Adventure,9.151090722807776,Apr-Jun
251,Taj Mahal,Uttar Pradesh,Historical,8.041916757088895,Nov-Feb
252,Goa Beaches,Goa,Beach,8.836459649194737,Nov-Mar
253,Jaipur City,Rajasthan,City,8.125034098865065,Oct-Mar
254,Kerala Backwaters,Kerala,Nature,9.143167495034348,Sep-Mar
255,Leh Ladakh,Jammu and Kashmir,Adventure,8.59789687012441,Apr-Jun
256,Taj Mahal,Uttar Pradesh,Historical,8.403655361533389,Nov-Feb
257,Goa Beaches,Goa,Beach,8.284116199094758,Nov-Mar
258,Jaipur City,Rajasthan,City,7.617165381372276,Oct-Mar
259,Kerala Backwaters,Kerala,Nature,8.382675748307422,Sep-Mar
260,Leh Ladakh,Jammu and Kashmir,Adventure,7.917003558302456,Apr-Jun
261,Taj Mahal,Uttar Pradesh,Historical,8.083688761192684,Nov-Feb
262,Goa Beaches,Goa,Beach,7.758783397757156,Nov-Mar
263,Jaipur City,Rajasthan,City,9.407835019184882,Oct-Mar
264,Kerala Backwaters,Kerala,Nature,8.025088514803304,Sep-Mar
265,Leh Ladakh,Jammu and Kashmir,Adventure,9.141722726219301,Apr-Jun
266,Taj Mahal,Uttar Pradesh,Historical,8.91877315803813,Nov-Feb
267,Goa Beaches,Goa,Beach,8.813848708103913,Nov-Mar
268,Jaipur City,Rajasthan,City,8.015626863328043,Oct-Mar
269,Kerala Backwaters,Kerala,Nature,7.588087849193326,Sep-Mar
270,Leh Ladakh,Jammu and Kashmir,Adventure,8.434929744953086,Apr-Jun
271,Taj Mahal,Uttar Pradesh,Historical,9.232289962037179,Nov-Feb
272,Goa Beaches,Goa,Beach,7.935193696560209,Nov-Mar
273,Jaipur City,Rajasthan,City,9.324373462793442,Oct-Mar
274,Kerala Backwaters,Kerala,Nature,7.777024607207728,Sep-Mar
275,Leh Ladakh,Jammu and Kashmir,Adventure,8.388578037562013,Apr-Jun
276,Taj Mahal,Uttar Pradesh,Historical,7.591070676890291,Nov-Feb
277,Goa Beaches,Goa,Beach,8.694303252963497,Nov-Mar
278,Jaipur City,Rajasthan,City,9.120385789350227,Oct-Mar
279,Kerala Backwaters,Kerala,Nature,7.841206949727761,Sep-Mar
280,Leh Ladakh,Jammu and Kashmir,Adventure,7.639341731351649,Apr-Jun
281,Taj Mahal,Uttar Pradesh,Historical,9.43086446632471,Nov-Feb
282,Goa Beaches,Goa,Beach,8.888987617087139,Nov-Mar
283,Jaipur City,Rajasthan,City,8.219242611520933,Oct-Mar
284,Kerala Backwaters,Kerala,Nature,9.01486652208098,Sep-Mar
285,Leh Ladakh,Jammu and Kashmir,Adventure,8.992391383757372,Apr-Jun
286,Taj Mahal,Uttar Pradesh,Historical,9.362001470283614,Nov-Feb
287,Goa Beaches,Goa,Beach,9.171525350501778,Nov-Mar
288,Jaipur City,Rajasthan,City,8.1727822883656,Oct-Mar
289,Kerala Backwaters,Kerala,Nature,7.844009444111711,Sep-Mar
290,Leh Ladakh,Jammu and Kashmir,Adventure,7.934186545996741,Apr-Jun
291,Taj Mahal,Uttar Pradesh,Historical,8.571800372009168,Nov-Feb
292,Goa Beaches,Goa,Beach,8.259128922273915,Nov-Mar
293,Jaipur City,Rajasthan,City,7.5343608026244375,Oct-Mar
294,Kerala Backwaters,Kerala,Nature,8.553046939554307,Sep-Mar
295,Leh Ladakh,Jammu and Kashmir,Adventure,9.301807912303714,Apr-Jun
296,Taj Mahal,Uttar Pradesh,Historical,8.01345163279451,Nov-Feb
297,Goa Beaches,Goa,Beach,7.633292996550987,Nov-Mar
298,Jaipur City,Rajasthan,City,8.804695152197962,Oct-Mar
299,Kerala Backwaters,Kerala,Nature,8.966364802325172,Sep-Mar
300,Leh Ladakh,Jammu and Kashmir,Adventure,7.799198881540521,Apr-Jun
301,Taj Mahal,Uttar Pradesh,Historical,8.634308850859137,Nov-Feb
302,Goa Beaches,Goa,Beach,7.64928107708147,Nov-Mar
303,Jaipur City,Rajasthan,City,9.356796584275807,Oct-Mar
304,Kerala Backwaters,Kerala,Nature,8.61120828898768,Sep-Mar
305,Leh Ladakh,Jammu and Kashmir,Adventure,8.111872493591813,Apr-Jun
306,Taj Mahal,Uttar Pradesh,Historical,8.4480644643696,Nov-Feb
307,Goa Beaches,Goa,Beach,8.41986035294417,Nov-Mar
308,Jaipur City,Rajasthan,City,8.122052827503532,Oct-Mar
309,Kerala Backwaters,Kerala,Nature,8.122685722841448,Sep-Mar
310,Leh Ladakh,Jammu and Kashmir,Adventure,7.862071974081125,Apr-Jun
311,Taj Mahal,Uttar Pradesh,Historical,8.093952306204637,Nov-Feb
312,Goa Beaches,Goa,Beach,7.923067612961262,Nov-Mar
313,Jaipur City,Rajasthan,City,8.160495549722198,Oct-Mar
314,Kerala Backwaters,Kerala,Nature,7.923207093856658,Sep-Mar
315,Leh Ladakh,Jammu and Kashmir,Adventure,7.746686189763855,Apr-Jun
316,Taj Mahal,Uttar Pradesh,Historical,8.03328074273946,Nov-Feb
317,Goa Beaches,Goa,Beach,8.61779577553025,Nov-Mar
318,Jaipur City,Rajasthan,City,7.79913244942954,Oct-Mar
319,Kerala Backwaters,Kerala,Nature,8.84963555984027,Sep-Mar
320,Leh Ladakh,Jammu and Kashmir,Adventure,8.353685271308148,Apr-Jun
321,Taj Mahal,Uttar Pradesh,Historical,9.146376228258996,Nov-Feb
322,Goa Beaches,Goa,Beach,7.875971584786738,Nov-Mar
323,Jaipur City,Rajasthan,City,8.130587468948864,Oct-Mar
324,Kerala Backwaters,Kerala,Nature,7.662104838922936,Sep-Mar
325,Leh Ladakh,Jammu and Kashmir,Adventure,7.767402106418881,Apr-Jun
326,Taj Mahal,Uttar Pradesh,Historical,8.206421939119537,Nov-Feb
327,Goa Beaches,Goa,Beach,8.382390141309063,Nov-Mar
328,Jaipur City,Rajasthan,City,8.631489840212462,Oct-Mar
329,Kerala Backwaters,Kerala,Nature,8.214897900478032,Sep-Mar
330,Leh Ladakh,Jammu and Kashmir,Adventure,7.63573528781037,Apr-Jun
331,Taj Mahal,Uttar Pradesh,Historical,9.082935360672387,Nov-Feb
332,Goa Beaches,Goa,Beach,8.942874660350423,Nov-Mar
333,Jaipur City,Rajasthan,City,7.632343966795443,Oct-Mar
334,Kerala Backwaters,Kerala,Nature,8.710665370439624,Sep-Mar
335,Leh Ladakh,Jammu and Kashmir,Adventure,9.310237104496577,Apr-Jun
336,Taj Mahal,Uttar Pradesh,Historical,9.26879230848542,Nov-Feb
337,Goa Beaches,Goa,Beach,8.576362703436722,Nov-Mar
338,Jaipur City,Rajasthan,City,8.139654822360953,Oct-Mar
339,Kerala Backwaters,Kerala,Nature,8.568613099478302,Sep-Mar
340,Leh Ladakh,Jammu and Kashmir,Adventure,9.051578730223218,Apr-Jun
341,Taj Mahal,Uttar Pradesh,Historical,8.408281456588794,Nov-Feb
342,Goa Beaches,Goa,Beach,9.379923842860551,Nov-Mar
343,Jaipur City,Rajasthan,City,7.873481445510227,Oct-Mar
344,Kerala Backwaters,Kerala,Nature,9.162324692301334,Sep-Mar
345,Leh Ladakh,Jammu and Kashmir,Adventure,9.315488065792977,Apr-Jun
346,Taj Mahal,Uttar Pradesh,Historical,8.969950615777162,Nov-Feb
347,Goa Beaches,Goa,Beach,7.920959927553192,Nov-Mar
348,Jaipur City,Rajasthan,City,8.013552975522641,Oct-Mar
349,Kerala Backwaters,Kerala,Nature,8.18621530520951,Sep-Mar
350,Leh Ladakh,Jammu and Kashmir,Adventure,7.950916521545693,Apr-Jun
351,Taj Mahal,Uttar Pradesh,Historical,8.488999182063221,Nov-Feb
352,Goa Beaches,Goa,Beach,7.946596794608405,Nov-Mar
353,Jaipur City,Rajasthan,City,9.29747082018926,Oct-Mar
354,Kerala Backwaters,Kerala,Nature,7.760694703272286,Sep-Mar
355,Leh Ladakh,Jammu and Kashmir,Adventure,8.057546789498799,Apr-Jun
356,Taj Mahal,Uttar Pradesh,Historical,8.606176983767309,Nov-Feb
357,Goa Beaches,Goa,Beach,8.314502184896275,Nov-Mar
358,Jaipur City,Rajasthan,City,7.738761292909418,Oct-Mar
359,Kerala Backwaters,Kerala,Nature,7.832207353651939,Sep-Mar
360,Leh Ladakh,Jammu and Kashmir,Adventure,8.117132891287836,Apr-Jun
361,Taj Mahal,Uttar Pradesh,Historical,8.134764369094412,Nov-Feb
362,Goa Beaches,Goa,Beach,8.908499371844,Nov-Mar
363,Jaipur City,Rajasthan,City,8.857005319987184,Oct-Mar
364,Kerala Backwaters,Kerala,Nature,8.029543990563425,Sep-Mar
365,Leh Ladakh,Jammu and Kashmir,Adventure,8.878382688353271,Apr-Jun
366,Taj Mahal,Uttar Pradesh,Historical,9.266030293290665,Nov-Feb
367,Goa Beaches,Goa,Beach,8.445148546462805,Nov-Mar
368,Jaipur City,Rajasthan,City,8.00825181627746,Oct-Mar
369,Kerala Backwaters,Kerala,Nature,7.526677667953975,Sep-Mar
370,Leh Ladakh,Jammu and Kashmir,Adventure,8.35737821975577,Apr-Jun
